"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"Lyon","IA",,"19","119",28,29.6296,28.5714,21.0526,31.5789,26.3158,31.5789,28,26.087,20,9.3023,14,25.8065,37.931,44.4444,48,36.3636,13.6364,4.7619,5.5556,15.7895,21.4286,27.2727,21.4286,29.4118,50,47.619,41.1765,52.6316,52.1739,47.3684,25,41.6667,27.2727,33.3333,35.2941,35.7143,25,23.5294,38.8889,35.7143,50,53.8462,45.4545,33.3333,18.1818
"Pushmataha","OK",,"40","127",17.9775,22.1154,25.8621,24.5614,26.3158,24.7619,16.9643,17.2727,9.1837,12.766,15.5556,28.0702,32.0755,30,29.2683,20.7547,19.7183,19.4444,18.75,18.4211,22.093,22.8261,20.4082,21.4286,22.2222,23.1707,24.7059,22.0779,21.3333,17.9487,18.75,13.5135,9.375,13.8889,26.6667,27.8481,34.7222,33.3333,24.3902,20.4819,17.5,17.9487,18.6667,29.5775,30,23.9437
"Noble","OK",,"40","103",24.3902,27.2727,25,23.913,23.0769,23.0769,34.7826,30.4348,27.5862,20,12.5,17.3913,12.9032,20,15.1515,17.1429,27.5,17.7778,19.5652,26.087,30.5556,27.7778,26.4706,27.2727,34.4828,31.25,25,23.5294,18.1818,20.5882,24,18.5185,23.0769,20.8333,26.087,23.0769,14.2857,23.3333,24.3243,31.25,29.6296,22.2222,16.6667,22.7273,21.7391,31.5789
"Franklin","FL",,"12","037",29.6429,35.4898,35.1145,35.6299,32.3591,25.7606,20,23.1742,22.8291,21.7765,22.1751,20.5882,23.435,24.2678,24.0331,19.7011,22.1643,20.509,19.1654,22.8614,28.6585,29.92,27.735,23.8342,24.1071,25.8865,24.9097,26.3251,27.305,27.4621,25.9424,24.8848,25.8216,21.8894,23.3796,21.327,19.7647,20.6161,23.2227,23.1651,25.3623,26.7327,25.7831,24.0695,23.6715,23.2143
"Lake","MI",,"26","085",34.5109,36.0111,34.0206,31.5508,25.4054,24.7727,20.9135,23.1343,20.4787,17.663,17.199,19.8646,22.6744,30.1927,33.2609,29.8539,28.0255,26.5446,22.6415,19.5767,19.0083,23.8806,21.6901,24.8062,28.25,31.9809,29.1469,29.7235,26.1062,28.3654,23.7136,20.8672,21.3166,16.7722,19.6262,17.7143,18.1592,20.9639,25.0585,28.4141,30.1843,29.6296,27.0408,23.1198,21.6463,17.9487
"Coosa","AL","Alexander City","01","037",25.8621,33.3333,35.7143,38.8889,39.6226,43.75,45,38.7097,33.3333,20,15.3846,16.2791,17.9487,15,25.7143,26.8293,36.8421,27.5,25,25,14.2857,17.7778,26,25,22.449,27.6596,16.6667,27.027,25.8065,20,8.3333,8.8235,16.129,10.7143,20.6897,26.6667,23.5294,29.0323,20,32.5,35.7143,37.8378,41.9355,25,18.5185,10.3448
"Live Oak","TX",,"48","297",53.6585,46.8085,43.1034,32.1429,30.6122,29.6296,12.2807,10,12.2449,5.7692,7.0175,11.1111,14.8936,17.7778,19.3548,10.7143,12.5,10.5263,10,9.7561,6.25,8.3333,9.375,13.5135,19.6078,16.0714,16.129,31.25,28.125,23.3333,17.5,13.3333,13.3333,10.6383,24.1935,25,20.3125,20,15.493,26.087,28.3333,30,24.5283,24.0741,15,11.5385
"Owyhee","ID","Boise City","16","073",54,61.2245,54.902,48.1481,42.6087,44.8598,45.5446,38.6139,40,38.3178,30.6452,41.7476,43.5644,34.7826,41.6667,43.4211,41.5584,39.1892,26.6667,15.9292,14.6341,16.4557,16.6667,17.284,19.5402,21.5054,23.4043,30.2632,36.1446,32.5301,25.5556,30.6667,29.2308,32.7273,30.7692,26.9841,27.7778,33.3333,36.4706,31.7647,27.8481,39.5062,38.0952,37.5,32.8767,42.5926
"Bradley","AR",,"05","011",17.6471,20,24.3902,36.1111,28.5714,31.25,18.75,16.6667,12.1212,20,19.4444,33.3333,37.8378,40.5405,28.125,21.875,24.2424,36.6667,30.303,21.875,24.2424,14.8148,12.1212,10,14.2857,20,34.6154,31.8182,31.8182,17.3913,25,14.2857,15,17.3913,16.6667,8.6957,6.9767,16.2791,19.0476,22.8571,32.3529,21.4286,23.0769,20,17.9487,15.1515
"Sanders","MT",,"30","089",18.8571,25.9887,24.5,23.8806,23.0392,25.8883,16.5714,19.8276,17.9487,14.7287,12.2047,21.4634,27.3585,25.3275,26.9912,25.5411,19.6787,16.8103,14.9425,14.5455,14.3713,14.1104,13.2184,15.625,19.6319,22.973,24.8963,28.5714,34.0136,30.3797,18.894,17.7632,8.8608,9.6154,11.7021,15.1316,14.8649,14.4509,17.4194,14.7059,17.9487,18.125,14.094,10.3448,8.4507,9.6774
"Jefferson","MT","Helena","30","043",26.087,27.5862,29.661,27.8261,22.1154,22.8571,23.0769,21.374,22.4138,16.9231,17.6923,15.4545,22.4138,24.5033,28.9655,26.7081,25,21.1765,17.2619,16.4557,20,19.2,21.2121,20.1439,22.6277,30.4348,33.3333,35.7143,28.7037,28.5714,20.1439,17.6056,13.7681,15.8621,18.0723,23.5849,27.4194,23.8938,20.1681,20.9091,21.2963,23.7624,20.1493,14.2857,13.0435,16.1017
